1	9772	27042	5	2012-09-18 20:14:24
2	13858	27044	1	2012-09-18 20:14:26
3	35889	27054	1	2012-09-18 20:14:38
4	21237	27095	4	2012-09-18 20:15:41
5	70924	27144	2	2012-09-18 20:17:04
6	6368	27154	5	2012-09-18 20:17:21
7	82005	27188	2	2012-09-18 20:18:12
8	83964	27205	2	2012-09-18 20:18:39
9	74605	27217	5	2012-09-18 20:19:00
10	19746	27292	9	2012-09-18 20:21:06
11	77818	27342	1	2012-09-18 20:22:29
12	66465	27352	1	2012-09-18 20:22:38
13	14065	27391	2	2012-09-18 20:23:43
14	43465	27406	1	2012-09-18 20:24:06
15	19829	27443	6	2012-09-18 20:24:52
16	97348	27476	1	2012-09-18 20:25:41
17	90776	27480	8	2012-09-18 20:25:44
18	99725	27519	1	2012-09-18 20:26:43
19	73242	27521	2	2012-09-18 20:26:46
20	84934	27532	4	2012-09-18 20:27:00
21	50050	27585	5	2012-09-18 20:28:20
22	34172	27595	3	2012-09-18 20:28:35
23	42230	27735	2	2012-09-18 20:32:21
24	64229	27747	4	2012-09-18 20:32:36
25	94482	27776	1	2012-09-18 20:33:28
26	49363	27817	7	2012-09-18 20:34:24
27	79367	27867	5	2012-09-18 20:35:43
28	89180	27881	1	2012-09-18 20:36:10
29	32167	27919	1	2012-09-18 20:37:07
30	28984	27953	1	2012-09-18 20:37:54
31	96549	27989	4	2012-09-18 20:38:51
32	7047	28124	8	2012-09-18 20:42:26
33	78512	28171	3	2012-09-18 20:43:37
34	49820	28203	3	2012-09-18 20:44:26
35	69652	28216	1	2012-09-18 20:44:47
36	91732	28350	4	2012-09-18 20:48:18
37	45018	28377	2	2012-09-18 20:49:06
38	89302	28402	5	2012-09-18 20:49:41
39	98830	28486	3	2012-09-18 20:51:51
40	19934	28550	2	2012-09-18 20:53:36
41	79646	28554	1	2012-09-18 20:53:44
42	66849	28565	4	2012-09-18 20:54:01
43	63883	28566	1	2012-09-18 20:54:01
44	27606	28569	1	2012-09-18 20:54:04
45	81081	28593	2	2012-09-18 20:54:44
46	48253	28600	4	2012-09-18 20:54:53
47	84232	28607	4	2012-09-18 20:55:02
48	44899	28680	4	2012-09-18 20:57:15
